ARM_CODART,ART_NOMBRE,Cod_Prod,Nom_Prod_DIGEMID,Concent_DIGEMID,Score
2634861.0,METAMUCIL x 10 SOB,46226,TAFCILEX® -10,18 mg,0.62
2635226.0,DIPHA-SCBIX AL 5% x 30gr CREMA,50572,DIPHA - SCBIX,5 %,0.61
2635547.0,MENTHOBIOTICOS 50SOB x 4UND,57109,MENTHOBIOTICOS,3 mg,0.78
2635975.0,PENETRO FORTE CREMA TUBO x 30gr,54880,PENETRO FORTE,15 g + 10 g,0.69
2636019.0,DELINEADOR LIQUIDO,58554,FEVASTIN LIQUID,120 mg/ 5 mL,0.61
2637026.0,ORFENADRINA 60mg x 100 AMP - DANY,37521,ORFENADRINA CITRATO,60 mg/ 2 mL,0.62
2637454.0,TRETOCHECK 10mg x 30 CAP - BONAPHARM,43799,TRETOCHECK 10,10 mg,0.65
2638675.0,VITAPYRENA FORTE x 5 SOB,46974,VITAPYRENA FORTE,,0.9
2638996.0,"LIBBERA ""D"" NEO x 100 TAB",57581,LIBBERA D NEO,5 mg + 120 mg,0.82
2639040.0,DIMENHIDRINATO 50mg/5ml x 10AMP - DIPHASAC,56778,DIMENHIDRINATO,50 mg/ 5 mL,0.63
2641198.0,AMOXIDAL PLUS 400mg x 100ml - MEGALABS,46825,AMOXIDAL PLUS,400 mg + 57 mg/ 5 mL,0.63
2641205.0,AMOXIDAL PLUS 875mg x 20 COMP - MEGALABS,46825,AMOXIDAL PLUS,400 mg + 57 mg/ 5 mL,0.61
2642426.0,COMTREX ANTIGRIPAL NOCHE x 60 SOB,51885,COMTREX ANTIGRIPAL NOCHE,650 mg + 250 mg + 4 mg + 30 mg + 20 mg,0.84
2642533.0,DICLOFENACO 75mg x 10 AMP - DANY,39236,DICLOFENACO,1 %,0.64
2644333.0,BRONCO VELAMOX 250mg/15mg x 60ml,53478,BRONCO VELAMOX,(250 mg + 15 mg)/ 5 ml,0.72
2644868.0,NEPAFEN 0.1% x 5ml,43352,NEPAFEN,0.1 %,0.71
2644975.0,FLEX NF 2MG/ML X 3AMP,57415,FLEX NF,2 mg/ mL,0.62
2645126.0,BILERGY 20mg x 10 TAB,53715,BILERGY 20,20 mg,0.65
2646240.0,ETALPRAM 10mg x 10 COMP,56936,ETALPRAM 15,15 mg,0.69
2646561.0,TELMISARTAN 80mg x 30 TAB - GENFAR,45189,TELMISARTAN,80 mg,0.61
2647568.0,CLORURO DE SODIO 0.9% x 100ml - DANY,54345,CLORURO DE SODIO,20 %,0.77
2647675.0,BETACORT DEPOT 2 AMP x 2 ml,56508,BETACORT DEPOT 2,10 mg/ 2 mL + 4 mg/ 2 mL,0.84
2647782.0,EVACUOL PLUS SOL.RECTAL x 66.5ml,50048,EVACUOL PLUS,16 g + 6 g/ 100 mL,0.67
2647889.0,VITAMINA C INJECTOPAS 7.5/50ml FCO x 50ml,47891,VITAMIN C - INJEKTOPAS®,7.5 g/ 50 mL,0.64
2648575.0,DOLO MIOPRESS FORTE x 100 TAB,57309,DOLOMIOPRESS FORTE,450 mg + 35 mg,0.77
2650526.0,DOLOCORDRALAN 1% GEL TUBO x 50gr,51992,DOLOCORDRALAN 50,50 mg,0.68
2652005.0,GLIBENCLAMIDA 5mg x 100 TAB - PERUFARMA,51539,GLIBENCLAMIDA,5 mg,0.62
2652219.0,CAFIASPIRINA FORTE 650mg x 36 TAB,58018,CAFIASPIRINA FORTE,650 mg + 65 mg,0.81
2652433.0,VITAMINA C + D3 & ZINC - FAST&UP,47891,VITAMIN C - INJEKTOPAS®,7.5 g/ 50 mL,0.62
2653654.0,LEVOTIROXINA 50mcg x 50 TAB - (DOBESIUM),52420,LEVOTIROXINA SODICA,100 mcg,0.65
2654554.0,AERO SIM GOTAS x 15ml ANIS,35489,AERO SIM SABOR A ANIS,80 mg/ mL,0.78
2654768.0,FLAVOSEX 200 x 30 TAB - JAM PHARMA,56638,FLAVOSEX 200,200 mg,0.65
2655026.0,ORIFLOW DUO PRO x 30 CAP - JAM PHARMA,57072,ORIFLOW DUO PRO,0.4 mg + 0.5 mg,0.7
2655561.0,LIDOCAINA 2% S/PRESERV. x 1 VIAL - DANY,53339,LIDOCAINA SIN PRESERVANTE,2 %,0.78
2656889.0,COLGATE TRIPLE ACCION x 50ML,52788,TRIPLE ACCION G& R,0.050 g + 1 g + 0.10 g,0.67
2657254.0,TAPSIN MIGRAÑA x 100 COMP,44611,TAPSIN MIGRAÑA,250 mg + 250 mg + 65 mg,0.8
2657903.0,PEPTO-BISMOL CEREZA x 118ml,57900,PEPTO-BISMOL® SABOR CEREZA,525 mg/ 30 mL,0.82
2658047.0,PEPTO-BISMOL CEREZA x 236ml,57900,PEPTO-BISMOL® SABOR CEREZA,525 mg/ 30 mL,0.82
2658368.0,KETOROLACO 10MG x 100 TAB. PERUFARMA,57576,KETOROLACO TROMETAMINA,10 mg,0.63
2659696.0,HIDROCORTISONA 100mg AMP - DANY,44965,HIDROCORTISONA,250 mg,0.65
2659810.0,ETALPRAM 20mg x 30 COMP,56936,ETALPRAM 15,15 mg,0.63
2661433.0,CHAO-TE ANTIGRIPAL x 50 SOBRES,57707,CHAOTE ANTIGRIPAL,500 mg + 200 mg + 10 mg,0.74
2663340.0,IBUMEJORAL MUJER 200 mg,57518,IBUMEJORAL MUJER,200 mg,0.92
2663447.0,MEJORAL MIGRAÑA 250mg x 50 SOB,57390,MEJORAL MIGRAÑA,250 mg + 250 mg + 65 mg,0.75
2664026.0,CEFRABIOTIC 250mg x 60ml,50838,CEFRABIOTIC,500 mg,0.73
2664347.0,LEVOFLOXACINO 500mg x 50 TAB - AC FARMA,42975,LEVOFLOXACINO,500 mg,0.62
2664989.0,NEBIVOLOL 5mg x 30 TAB	,56005,NEBIVOLOL,5 mg,0.68
2665889.0,ORATADINA ALLERGY 10mg x 100 TAB - SHERFARMA,46384,ORATADINA ALLERGY,10 mg,0.68
2665996.0,DOLOFENAC FLEX 3mg CAJA x 30 TABLETAS,55246,DOLOFENAC FLEX,1.5 mg/ mL,0.65
2666468.0,ANEURIN B12 20 000mcg/2ml x 1 AMP,54458,ANEURIN B12 20000,20 000 mcg/ 2 mL,0.69
2667154.0,FENACINA 5 x 30 TAB 	,56640,FENACINA 5,5 mg,0.79
2667261.0,TELCARD 40mg x 30 TAB,54596,TELCARD® 40,40 mg,0.65
2668268.0,NASTIZOL KIDS JBE x 100ml,58262,NASTIZOL KIDS,2.5 mg + 1 mg/ 5 mL,0.78
2668375.0,GASEOVET 80mg x 30 TAB,35148,GASEOVET CB,180 mg,0.71
2668810.0,MELATONINA  3MG x 30 TAB.-KAPOX,58172,MELATONINA,3 mg,0.63
2670433.0,NASTIZOL KIDS JBE x 60ml,58262,NASTIZOL KIDS,2.5 mg + 1 mg/ 5 mL,0.8
2672019.0,CIPROFLOXACINO 200mg/100ml AMP - PHARMAGEN,46104,CIPROFLOXACINO,500 mg,0.63
2672554.0,SALES DE REHIDRATACION ORAL x 25SOB - MEDIFARMA,48089,SALES PARA REHIDRATACION ORAL,20.5 g,0.78
2672982.0,DICLOFENACO 75mg x 10 AMP - GENFAR,38550,DICLOFENACO,1 %,0.61
2673133.0,FLORIL SMART GAMER x 10mL,56445,FLORIL SMART GAMER,0.05 %,0.94
2673240.0,URONOR 100 x 100mg,57563,URONOR 100,100 mg,0.81
2673989.0,DIMENHIDRINATO 50mg TAB x 100 - PERUFARMA,48908,DIMENHIDRINATO,50 mg,0.63
2674461.0,CLORURO DE SODIO 20% CAJA x 5 AMP - DANY,54345,CLORURO DE SODIO,20 %,0.7
2674996.0,NEUROPRESS 5000 CJA x 60 TAB,52023,NEUROPRESS,250 mg + 250 mg + 1 mg,0.63
2677696.0,DOLOCORDRALAN EXTRA FORTE NF  x 54 TABLETAS,56992,DOLOCORDRALAN EXTRA FORTE NF,50 mg + 50 mg + 50 mg + 0.25 mg,0.8
2678710.0,CIPROFLOXACINO 500mg x 100 TAB - PERUFARMA,47985,CIPROFLOXACINO,500 mg,0.62
2679068.0,GRIPALERT JBE x 120 ML,57562,GRIPALERT,1.25 mg + 10 mg + 30 mg/ 5 mL,0.68
2679824.0,CLORURO DE SODIO 0.9% x 100ml - CORP.FS,58568,CLORURO DE SODIO,0.9 %,0.74
2679931.0,GASEOPLUS 240mg x 30 CAP BLD,42464,GASEOPLUS FRESA,80 mg/ mL,0.61
2680012.0,ESCITALOPRAM 10mg x 10 TAB - AC FARMA,58525,ESCITALOPRAM,10 mg,0.61
2681447.0,SET DE MANICURE,48958,SAL DE ANDREWS,2.28 g + 0.8825 g,0.62
2682240.0,NEOTETRIN 0.05% CREMA x 30gr,43743,NEOTETRIN,0.05 %,0.61
2683996.0,CLORURO DE SODIO 0.9% x 100ml - ACULIFE,61218,CLORURO DE SODIO,0.9 %,0.73
2684040.0,CLORFENAMINA DIEPHAR x 60 UNITOMAS,43674,CLORFENAMINA MALEATO,2 mg/ 5 mL,0.73
2684361.0,TELMIGLOB 40MG x 30 TAB,51544,TELMIGLOB-HCT,40 mg + 12.5 mg,0.67
2684575.0,DOLONET SUSP.100mg x 60mL,50508,DOLOFEN 500MG,500 mg,0.64
2684903.0,RHINO DAZOL PLUS SOLUCION x 15ml. LUSA,58790,RHINO-DAZOL® PLUS,1 mg/ mL,0.68
2685368.0,FEBRAMOL 10MG/ML FCO/100ML(PARACETAMOL),41268,TRAMADOL + PARACETAMOL,37.5 mg + 325 mg,0.62
2686917.0,DOLO NEUROBION GEL 1% 30G,43455,DOLO NEUROBION,,0.84
2688282.0,HIDROXOCOBALAMINA 1mg/1ml x 1 AMP - AC FARMA,58648,HIDROXOCOBALAMINA,1 mg/ mL,0.69
2689396.0,HIOSCINA BUTIL BROM IM/IV X 10 AMP(ZIOX)	,41644,HIOSCINA BUTIL BROMURO,10 mg,0.68
2691347.0,PENICILINA PROCAINICA 1000 x 10 AMP - LABOT,51180,PENICILINA G PROCAINICA,1 000 000 UI,0.76
2693575.0,DISFRUTA LIMON GRÁNULOS EFER x 60 SOB,55713,DISFRUTA LIMON,1.871 g + 1.398 g,0.66
2694154.0,SPASMONIUM 40mg x 30TAB,52737,SPASMONIUM,40 mg,0.71
2694368.0,CIPROFLOXACINO 0.3% GOTAS x 5ml (BADITED) - JPS,44122,CIPROFLOXACINO,0.3 %,0.61
2694475.0,LIDOCAINA 2% S/PRESERV. FCO x 20ml - OTARVASQ,57056,LIDOCAINA 2%(SIN PRESERVANTES),2 %,0.63
2701391.0,SUBSALICILATO DE BISMUTO x 240 ML-PORTUGAL,51072,SUBSALICILATO DE BISMUTO,87.33 mg/ 5 mL,0.84
2701498.0,MILPAX F x 360ml,51600,MILPAX F,500 mg/ 10 mL + 267 mg/ 10 mL + 160 mg/ 10 mL,0.77
2701505.0,NASTIZOL ANTIGRIPAL MULTISINTOMAS x 50x2 TAB,58717,NASTIZOL® ANTIGRIPAL MULTISÍNTOMAS,500 mg + 5 mg + 2 mg,0.94
2701612.0,NASTIZOL NF JBE x 100ml,58208,NASTIZOL NF,30 mg + 2 mg/ 5 mL,0.75
2701719.0,SUPRACALM 1G x 10 COMPRIMIDOS,41613,SUPRACALM DUO,325 mg/ 37.5 mg,0.62
2701826.0,SUPRACALM DUO x 10 COMPRIMIDOS,41613,SUPRACALM DUO,325 mg/ 37.5 mg,0.7
2702398.0,ACIDO TRANEXAMICO 250MG CJA/10 TAB - AC FARMA,38805,ACIDO TRANEXAMICO,1 g/ 10 mL,0.68
2702619.0,MIOFEDROL RELAX PLUS x 100 COMP,40950,MIOFEDROL RELAX PLUS,50 mg + 75 mg + 500 mg,0.88
2702726.0,TOTAL FLEXX FORTE GEL TUBO x 50 gr.,58898,TOTAL FLEXX FORTE,2 %,0.67
2702940.0,"BENALGIN 10,000 NF AMP - LUSA",58339,BENALGIN 10 000 NF,,0.87
2703191.0,DIMENHIDRINATO 50mg/5ml x 10AMP - CORP.FS,59233,DIMENHIDRINATO,50 mg/ 5 mL,0.65
2703733.0,BRIVAXON 50mg x 30 COMP,48561,BRIVAXON,25 mg,0.62
2705212.0,GINGITRIOL 3mg/mL 20mL,59765,GINGITRIOL,3 mg/ mL,0.65
2705319.0,COMTREX ANTIGRIPAL DIA x 60 SOB,51883,COMTREX ANTIGRIPAL DIA,500 mg + 200 mg + 10 mg,0.83
2705640.0,PREDCORT FORTE 25mg/5ml FRASCO x 60ml	,58086,PREDCORT FORTE,25 mg/ 5 mL,0.66
2706112.0,GLUCOPHAGE XR 850 x 30 COMPRIMIDOS	,34435,GLUCOPHAGE XR,750 mg,0.65
2706647.0,TELMICIN-P x 5ML,37954,TELMICIN P,0.3 %,0.82
2707012.0,TONIKON PLUS JBE x 345ml,58792,TONIKON PLUS,(2.5 mg + 6.25 mg + 312.5 mg)/ 5 mL,0.77
2708554.0,OPTADOL 0.1% FCO/5ML. (DICLOFENACO)	,43555,DICLOFENACO,1 %,0.65
2708768.0,ACIDO TRANEXAMICO 1GR CAJA x 5 AMP.- TATVA,59697,ACIDO TRANEXAMICO,1 g/ 10 mL,0.7
2709240.0,LIDOCAINA CLORH. 2% SOL. INY CJA/10 AMP - JPS,51246,LIDOCAINA CLORHIDRATO,2 %,0.63
2711512.0,BIOBRONCOL S 500mg x 50 CAP - IQFARMA,58343,BIOBRONCOL S,250 mg/ 5 mL,0.61
2711619.0,BIOBRONCOL S 500mg x 12 CAPSULAS,58343,BIOBRONCOL S,250 mg/ 5 mL,0.65
2712191.0,ORFENADRINA 100mg x 100 TAB - GENFAR,57970,ORFENADRINA CITRATO,100 mg,0.63
2712305.0,ATROPINA SULFATO 1mg/1ml AMP - CAJA x 10 - DIPHASAC,58486,ATROPINA SULFATO,1 mg/ 1 mL,0.62
2712626.0,VANCOMICINA 500MG IV CJA/10 VIALES(VANCONEX)	,39185,AMOXICILINA + ACIDO CLAVULANICO,500 mg + 125 mg,0.61
2713205.0,RAQUIFEROL D3 200 000 SOL.ORAL x 2ml,52136,RAQUIFEROL ® D3 CB,10 000 UI,0.65
2715219.0,NISTAGLOS UNGUENTO x 30gr,54846,NISTAGLOS,(10 000 000 UI + 20 g)/ 100 g,0.63
2715861.0,DOLOCHECK PLUS 400mg x 100 CAP,34747,DOLOCHECK PLUS,400 mg,0.64
2715968.0,HIDROCLOROTIAZIDA 25mg x 100 TAB - AC FARMA,59105,HIDROCLOROTIAZIDA,25 mg,0.69
2716761.0,PLIMADOL COMPUESTO NF CJA x 100 TAB - LYAFARM,54300,PLIMADOL COMPUESTO NF,500 mg + 10 mg,0.66
2719140.0,GASLESS MAX 80mg x 10 TAB MASTICABLE SABOR A CANELA	,36864,GASLESS MAX SABOR A CANELA,80 mg,0.78
2720184.0,ACI BASIC SUSP x 200 ml,59289,ACI BASIC UVA,400 mg/ 5 mL + 30 mg/ 5 mL,0.71
2720619.0,CLORURO DE POTASIO 14.9% x 10 ML x 25 AMP - LUSA,37125,CLORURO DE POTASIO,14.9 %,0.68
2721305.0,AB BRONCOL NF 1000 INYECTABLE,48938,AB BRONCOL NF 1200,1000 mg + 200 mg,0.82
2721519.0,DOLOCHECK FORTE x 100 CAP,57230,DOLOCHECK FORTE,500 mg + 200 mg,0.75
2721947.0,AERO-MOTIL x 20COMP,38812,AERO MOTIL,25 mg,0.64
2722091.0,RESFRIGRIP ANTIGRIPAL x 100 TABLETAS	,59066,RESFRIGRIP ANTIGRIPAL,,0.74
2722198.0,FUROXONA FORTE JBE x 60ml,37379,FUROXONA FORTE,50 mg/ 5 mL,0.82
2723098.0,NEUROBION ADVANCE x 90 TABLETAS,59966,NEUROBION ADVANCE,100 mg + 50 mg + 1 mg,0.71
2723533.0,ALERGICAL NEO JBE x 45ml,57209,ALERGICAL NEO,(2 mg + 5 mg)/ 5 mL,0.8
2724112.0,DESCONGEST NF DIEPHAR x 60 MONODOSIS,55232,DESCONGEST NF,(0.75 mg + 5 mg + 5 mg)/ 5 mL,0.63
2724754.0,ROSUVASTATINA 20mg CAJA x 30 TAB.-QM,57768,ROSUVASTATINA,10 mg,0.65
2724968.0,BEPANTHEN JABON 90gr,49677,BEPANTHEN PLUS,5 % + 0.5 %,0.69
2725012.0,ACIDO TRANEXAMICO 100MG/ML SOL.INY - AC FARMA,38805,ACIDO TRANEXAMICO,1 g/ 10 mL,0.69
2727668.0,LEVOTIROXINA 100mcg x 100 TAB - MERCK,38160,LEVOTIROXINA SODICA,100 mcg,0.66
2729682.0,CLORURO DE SODIO 0.9% x 250ml - PHARMAGEN,37694,CLORURO DE SODIO,20 %,0.7
2730733.0,NONPIRON FORTE 200mg/5ml x 60ml - ELIFARMA,58307,NONPIRON FORTE,200 mg/ 5 mL,0.63
2730840.0,REDEX FLEX x 60 TAB,60472,REDEX 60,60 mg/ 2 mL,0.69
2731419.0,CLORURO DE SODIO 0.9% x 250ml - CORVAL,61218,CLORURO DE SODIO,0.9 %,0.74
2732961.0,ULTRA BENGUE 2% (DICLOFENACO) x 50GR,59805,ULTRA BENGUE,2 %,0.63
2734226.0,FENAZOPIRIDINA 100mg TAB x 100-GENERION,60980,FENAZOPIRIDINA,100 mg,0.64
2738903.0,CICLOPIROX 8% LACA - PREPARADO MAGISTRAL,46847,LOPIROX LACA PARA UÑAS 8%,80 mg,0.67
2739261.0,ESO-PEPTOPRAZOL 20mg x 28 CAP - SHERFARMA,59783,ESO-PEPTOPRAZOL,20 mg,0.64
2740740.0,KITADOL FORTE x 40 SOBRES x 2 TAB,60413,KITADOL FORTE,250 mg + 250 mg + 65 mg,0.67
2741098.0,AMPICILINA 1g + SULBACTAM 0.5g IM-IV x 10 AMP - CORVAL,47880,AMPICILINA + SULBACTAM,1 g + 0.5 g,0.69
2741854.0,HIOSCINA N-BUTIL BROMURO 20mg/1ml x 10 AMP - JPS,57161,HIOSCINA BUTILBROMURO,20 mg/ mL,0.75
2743440.0,MAFIDOL 120mg/5ml x 60ml - FARVET,55130,MAFIDOL EXTRA FORTE,1 g,0.63
2743547.0,HIDROCORTISONA 1% CREMA x 15gr - COASPHARMA,61168,HIDROCORTISONA,1 %,0.62
2745026.0,DEXTRO TOSS JBE x 60ml,59286,DEXTRO TOSS,15 mg/ 5 mL,0.77
2745347.0,LENTOCILIN S 1200 X 1 VIAL p/Susp. Iny.,61226,LENTOCILIN S 1200,1200000 UI,0.64
2746889.0,CLORFENAMINA 4mg x 300 TAB -MEDIFARMA GENERICO,41232,CLORFENAMINA MALEATO,4 mg,0.62
2748582.0,CLORURO DE SODIO 0.9% x 100ml - EUROFARMA,2857,CLORURO DE SODIO,0.9 %,0.6
2749268.0,DOLOCORDRALAN FORTE 100mg x 50 TAB,52244,DOLOCORDRALAN FORTE 2%,2 %,0.73
2749703.0,BEPANTHEN JABON 90gr PACK x 3 UND,49677,BEPANTHEN PLUS,5 % + 0.5 %,0.61
2750854.0,METOCLOPRAMIDA 10mg/2ml x 10 AMP - DIPHASAC,58454,METOCLOPRAMIDA,10 mg/ 2 mL,0.62
2751754.0,ALBISEC ONE 2gr CAJA X  1 SOBRE,61473,ALBISEC ONE,2 g,0.64
2753447.0,GLORANTA CARAMELOS x 5/4 SOBRES - T/SAB,49646,DOLOALIVIO ANTIGRIPAL NOCHE X 60 SOBRES,,0.61
2753982.0,TRANSFAR 75mg CAJA x 30 CÁPSULAS,59926,TRANSFAR 75,75 mg,0.62
2754561.0,TRIAMCINOLONA 0.025% LOCION x 60ml-IQ FARMA,52581,TRIAMCINOLONA ACETONIDA,50 mg/ 5 mL,0.6
2754668.0,CLORFENAMINA 4mg x 200 TAB - PORTUGAL,42354,CLORFENAMINA MALEATO,2 mg/ 5 mL,0.68
2755140.0,SANISCALD UNG x 30 gr TUB,60241,SANISCALD,10 000 000 UI + 20 g/ 100 g,0.63
2755782.0,COLIRIO EYEMO FRASCO x 12 ml,37850,COLIRIO EYE MO,0.05 %,0.72
2756361.0,DAPAGLICIN 10mg x 30 - MEGALAB,57540,DAPAGLICIN 10,10 mg,0.63
2756789.0,FINASTERIDA 5mg x 30 TAB REC,42882,FINASTERIDA,5 mg,0.66
